#,اسم الفعالية,الجهة المسؤولة,وصف الفعالية,تاريخ البداية,تاريخ النهاية,عدد الأيام,التصنيف,النوع,المدينة,الفئة الفرعية,حالة الإضافة,التمويل,التواصل,فترة الإقامة,حالة التضمين,سبب الاستبعاد
,تجربة 850 التفاعلية 2025/2026,هيئة تطوير بوابة الدرعية,"التجربة التفاعلية التي تم تنفيذها لرواية قصة تأسيس الدرعية من خلال تجربة جماعية تفاعلية يخوض من خلالها المشاركين رحلة حل الألغاز بالعديد من التفاصيل الجميلة وترتكز على قصص عاصرتها الدرعية والدولة السعودية الأولى وستكون مواضيعها متعلقة بشخصيات وأبطال وأدوات وأسلحة مثل السيف وغيرها, حيث أن هذه التجربة تثري الزائر بتفاصيل أكثر تفاعلا وتشمل مناطق داخلية وخارجية.","Thursday, January 1, 2026","Saturday, January 31, 2026",,Tier 2,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,منزال (تجربة الوادي) 2025/2026,هيئة تطوير بوابة الدرعية,تهدف الفعالية إلى إثراء التجربة والمغامرة والاسترخاء واكتشاف الجوانب الأخرى للدرعية كالطبيعة ما بين الجبال وسيقدم منزال المزيد من الأنشطة المتعلقة بطبيعة الموقع على سبيل المثال تجربة تخييم وتركيبات فنية ضخمة وتجربة المغامرة البرية ولاسترخاء والاستجمام والسوق والمنتجات المحلية  والفنون الأدائية والفعاليات المصاحبة.,"Thursday, January 1, 2026","Saturday, February 14, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,حفلات عربية موسيقية 2025/2026,الهيئة العامة للترفيه,ليالي الحفلات العربية ذات الطابع الفريد فنيا لأبرز فنانين وفنانات العرب.,"Thursday, January 1, 2026","Monday, February 16, 2026",,Tier 2,ترفيه,الرياض,,أساس,لم تلغى,غير متواصلة,خلال التواريخ المحددة,تضمن,
,المسرحيات العربية 2025/2026,الهيئة العامة للترفيه,تجربة فنية حية ومميزة تعرض أفضل الإنتاجات المسرحية العربية بمزيج من العروض المتنوعة التي تناسب جميع الأذواق لتمنح كل محب للمسرح تجربة ثقافية وترفيهية.,"Thursday, January 1, 2026","Monday, February 16, 2026",,Tier 2,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,تفعيلات بوليفارد سيتي 2025/2026,الهيئة العامة للترفيه,تجارب تفاعلية متنوعة في بوليفارد رياض سيتي تقدم أنشطة ترفيهية تعتمد على التفاعل المباشر وتشمل ألعاب وتجارب مصممة لاستقطاب العائلات والشباب ضمن بيئة ترفيهية حيوية.,"Thursday, January 1, 2026","Tuesday, April 7, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,تفعيلات بوليفارد وورد 2025/2026,الهيئة العامة للترفيه,تجربة فريدة تستعرض ثقافات الدول من حول العالم مع عروض حيّة ومطاعم عالمية وأسواق تراثية وأنشطة ترفيهية مدهشة لكل العائلة اكتشف العالم دون مغادرة الرياض.,"Thursday, January 1, 2026","Tuesday, April 7, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,دوري برايم,الاتحاد السعودي للرياضات الإلكترونية,"صمم دوري برايم ليكون منصة افتراضية للاعبين الهواة، حيث يساعد في تعزيز ظهورهم وربط اللاعبين الطموحين مع بعضهم من خلال منافسة حقيقية وهادفة. 
","Thursday, January 1, 2026","Wednesday, November 4, 2026",,Tier 2,ترفيه,سيتم تحديده لاحقاً,,أساس,ملغى 1,غير متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,بيست هاوس,مدل بيست,يعد  JAX Beasthouse  بمثابة مساحة دائمة تتمتع بإطلالات بانورامية على أودية الدرعية. يضم أستوديوهات مصممة لاستيعاب الموسيقيين والأفراد ذوي الاهتمامات المماثلة وبهدف استضافة فعاليات موسيقية أسبوعيا وعلى مدار السنة.,"Thursday, January 1, 2026","Wednesday, December 30, 2026",,Tier 3,ترفيه,الرياض,,أساس,لم تلغى,غير متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,آتاشيه,مدل بيست,مكان في قلب حي السفارات وبعد أن كان نادياً للفروسية تم تحويل هذه المساحة لتكون وجهة رائعة لمحبي الموسيقى والدبلوماسيين خارج أوقات العمل حيث يحتوي على صالة للموسيقى ومنطقة خارجية مظللة لمنصة الدي جي توفر حلبة رقص مرنة ومناطق جلوس لتجربة حصرية للضيوف.,"Thursday, January 1, 2026","Wednesday, December 30, 2026",,Tier 3,ترفيه,الرياض,,أساس,لم تلغى,غير متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,معارض معهد مسك للفنون,مؤسسة محمد بن سلمان غير الربحية (مسك) ,خلال عام 2026 يعتزم معهد مسك للفنون بتقديم عدد من المعارض الفنية ذات جودة عالمية ليكون الفن متاح للجميع.,"Thursday, January 1, 2026","Thursday, December 31, 2026",,Tier 2,ترفيه,الرياض,,أساس,ملغى 1,غير متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,مسلية,هيئة تطوير بوابة الدرعية,يقدم البرنامج سلسلة من الأنشطة الغامرة للأطفال وعائلاتهم مستوحاة من التراث الثقافي غير المادي لمنطقة نجد ويضم تجارب تفاعلية عملية تعتمد على الاكتشاف والمرح لتمكن الفهم وتعزز لدى الأطفال مشاعر الانتماء والتقدير للدرعية التاريخية والاتصال الأعمق بتراثها.,"Sunday, January 4, 2026","Saturday, January 17, 2026",,Tier 3,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,كأس آسيا تحت 23 عامًا 2026,الاتحاد السعودي لكرة القدم,"تستضيف الرياض مواجهات قوية ضمن دور المجموعات في بطولة كأس آسيا تحت 23 عامًا 2026 على اثنين من أبرز الملاعب في العاصمة وبوصفها إحدى المدينتين الرئيسيتين المستضيفتين، حيث تستقبل الرياض منتخبات المجموعتين C وD لتسلط الضوء من خلالها على نجوم المستقبل في كرة القدم الآسيوية.","Tuesday, January 6, 2026","Saturday, January 24, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,غير متواصلة,خلال التواريخ المحددة,تضمن,
,عرض بور سلاب,الهيئة العامة للترفيه,"عرض power slap، حيث يتنافس أبطال power slap من جميع أنحاء العالم على البطولة في الرياض.","Friday, January 9, 2026","Friday, January 9, 2026",,Marquee,ترفيه,الرياض,,أساس,ملغى 1,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,اليوم العالمي للقهوة,الشركة السعودية للقهوة,اليوم العالمي للقهوة,"Saturday, January 10, 2026","Saturday, January 10, 2026",,Tier 3,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,رالي داكار,وزارة الرياضة ,"تستضيف المملكة العربية السعودية النسخة السابعة لسباق الرالي الدولي للسيارات، حيث ستنطلق المنافسات من ينبع على ساحل البحر الأحمر ليخوض المشاركون رحلة حافلة بالتنوع الجغرافي والمغامرة. ","Saturday, January 10, 2026","Sunday, January 11, 2026",,Marquee,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,ملتقى طويق للنحت,الهيئة الملكية لمدينة الرياض ,"هي منصة يلتقي فيها الفنانون المحليون والدوليون لصناعة أعمال فنية إلهامية، حيث يتيح لزواره مشاهدة الرحلة الإبداعية لإنشاء المنحوتات والمشاركة في ورش العمل التفاعلية والحوارات حول تاريخ ومستقبل الفن العام مما يساهم بشكل فعال في إثراء المشهد الثقافي في المملكة العربية السعودي ويتم عرض المنحوتات في معرض مصاحب بعد الانتهاء منها.","Saturday, January 10, 2026","Sunday, February 22, 2026",,Tier 2,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض من الأرض الفني,مركز الدرعية لفنون المستقبل,"معرض يستكشف تقاطعات الفن والتكنولوجيا والبيئة، ويُظهر كيف تُشكّل الأنظمة الرقمية علاقتنا بالطبيعة باستخدام مواد أرضية، بمشاركة أكثر من 30 فناناً عالمياً ومحلياً، مقدماً رؤى حول التحديات البيئية والتقنية. ","Wednesday, January 14, 2026","Saturday, May 16, 2026",,Tier 2,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,حفل Joy Awards,الهيئة العامة للترفيه,يعود حفل صناع السعادة كحفل لتكريم صناع الترفيه في العالم العربي ويقام ضمن فعاليات موسم الرياض يشمل الحفل عدة فئات منها أفضل ممثل وأفضل ممثلة وأفضل فيلم وأفضل أغنية بالإضافة إلى جوائز تكريمية للإنجازات البارزة.,"Saturday, January 17, 2026","Saturday, January 17, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,كأسي الملك عبد العزيز وكؤوس وجائزة خادم الحرمين الشريفين,نادي سباقات الخيل ,"تُعد فعالية كأسي الملك عبد العزيز ""المؤسس"" -طيب الله ثراه- ضمن الفئة الأولى محلياً ويصل مجموع جوائزها إلى 10 ملايين ريال بواقع خمس ملايين لكل شوط كما تقام في نفس الأمسية المسابقة الكبرى لكأسي خادم الحرمين الشريفين بجوائز مالية تصل لأكثر من ثلاثة ملايين ريال. ","Saturday, January 17, 2026","Saturday, January 17, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,بطولة ماسترز السعودية للسهام,الهيئة العامة للترفيه,بطولة استثنائية وتنافسية تجمع أفضل لاعبي السهام المحترفين من مختلف أنحاء العالم للتنافس على المراتب الأولى في أجواء مليئة بالإثارة والتشويق وتقدم تجربة مميزة لعشاق الرياضة والتحدي.,"Monday, January 19, 2026","Tuesday, January 20, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض La Fabrique الفني,الهيئة الملكية لمدينة الرياض,"معرض مخصص للإبداع الفني والتبادل الثقافي، حيث يوفر بيئة تمكّن الفنانين من تطوير أفكارهم ومشاركتها ضمن مجال واسع من الممارسات الفنية المعاصرة ويتيح للزوار فرصة فريدة للتفاعل مع العملية الإبداعية أثناء تشكّلها والاطلاع على كيفية نشوء الأعمال الفنية وتطورها عبر الزمن بدلاً من الاكتفاء بمشاهدة النتائج النهائية.","Thursday, January 22, 2026","Saturday, February 14, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مباراة الملاكمة شاكور ضد تيوفيمو,الهيئة العامة للترفيه,مباراة الملاكمة شاكور ضد تيوفيمو هي فعالية مميزة ومثيرة تجمع بين اثنين من أبرز الملاكمين المحترفين في العالم للتنافس على الحلبة في أجواء مليئة بالإثارة والتشويق.,"Saturday, January 24, 2026","Saturday, January 31, 2026",,Marquee,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان خادم الحرمين الشريفين للهجن,الاتحاد السعودي للهجن,مهرجان خادم الحرمين الشريفين للهجن يقام بمشاركة نخبة من ملاك الهجن في السعودية والخليج والوطن العربي والعالم على ميدان الجنادرية للهجن.,"Saturday, January 24, 2026","Monday, February 2, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض Sneaker Con,الهيئة العامة للترفيه,يعود المعرض إلى الرياض ضمن موسم الرياض ليؤكد مكانته كأضخم تجمع لعشاق الأحذية الرياضية وثقافة الشارع في المنطقة.,"Monday, January 26, 2026","Wednesday, January 28, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان طين,هيئة تطوير بوابة الدرعية,"يتكون المهرجان من العديد من التجارب المثرية والتي تساعد في استكشاف التراث الثقافي الغني للدرعية والعالم من خلال الطين، حيث سيتم توجيه الدعوة للفنانين والمختصين والخبراء في الإرث الثقافي والفنون لتقديم ورش عمل ومعارض وعروض حية تتمحور حول الطين بشكل ترفيهي وثقافي يلائم جميع الأعمار وستتاح الفرصة للحضور في المشاركة في هذه التجارب بشكل تفاعلي يثري تجربتهم على أكمل وجه.","Tuesday, January 27, 2026","Tuesday, February 3, 2026",,Tier 2,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض بدايات للفنون السعودية,هيئة الفنون البصرية, معرض يوثق ويحتفي بالمرحلة التأسيسية للحركة الفنية الحديثة في المملكة عبر أعمال جيل رائد من الفنانين السعوديين من الستينيات حتى الثمانينيات ويقدّم رحلة بصرية تكشف كيف تشكّل المشهد الفني الحديث بالتوازي مع التحولات الثقافية والاجتماعية والاقتصادية في المملكة ويضم المعرض لوحات ومنحوتات وأعمالًا على الورق إلى جانب مواد أرشيفية متنوعة يُعرض جزء منها لأول مرة.,"Tuesday, January 27, 2026","Saturday, April 11, 2026",,Tier 2,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,WWE - Smack Down,الهيئة العامة للترفيه,"عرض حي مباشر لأحد أشهر برامج المصارعة الأسبوعية في العالم، حيث يُقام ضمن فعاليات موسم الرياض ويجمع نخبة نجوم WWE في مواجهات نارية أمام جمهور متعطش للحماس والإثارة.","Friday, January 30, 2026","Friday, January 30, 2026",,Marquee,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,عروض WWE,الهيئة العامة للترفيه,"يعود (WWE) في ليلة تاريخية ولأول مره في الرياض بعرض (Royal Ramble) وعرض (SmackDown)، حيث ستكون الأمسية مع أشهر نجوم المصارعة الترفيهية.","Friday, January 30, 2026","Saturday, January 31, 2026",,Marquee,ترفيه,الرياض,,أساس,ملغى 1,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,WWE - Royal Rumbel,الهيئة العامة للترفيه,"حدث مصارعة عالمي ضخم تنظمه WWE ضمن فعاليات موسم الرياض لأول مرة في المملكة ويجمع أقوى نجوم المصارعة في ليلة حماسية لا تُنسى وتُعد Royal Rumble واحدة من أشهر بطولات WWE وأكثرها إثارة، حيث يتنافس المصارعون في مواجهات ملحمية تنتهي بخروج آخر رجل من الحلبة منتصرًا.","Friday, January 30, 2026","Saturday, January 31, 2026",,Marquee,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,بينالي الدرعية للفن المعاصر,مؤسسة بينالي الدرعية,حدث يحتفي بالمشهد الفني المعاصر في المملكة العربية السعودية بالمشاركة في حوار ثقافي مع الفنانين العالميين مما يجعل المملكة وجهة رئيسية عالمية للفن.,"Friday, January 30, 2026","Saturday, May 2, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,بينالي الدرعية للفن المعاصر ,مؤسسة بينالي الدرعية,"يقدّم البينالي رؤية فنية يتحاكى فيها التاريخ والأجداد والأحلام من خلال الأغاني والحكايات وهدير الرياح. ويشهد عرض أكثر من 20 عملاً فنياً جديداً، يهدف لخلق مساحات للقاء بين الفنانين والموسيقيين والمخرجين والمعماريين والكتاب، بما يتيح فرصاً فريدة للتلاقي والتفاعل، وتعزيز قدرتنا على الثبات والاستمرار أمام التحديات.","Friday, January 30, 2026","Saturday, May 2, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,ماراثون الرياض,الاتحاد السعودي للرياضة للجميع,"إقامة النسخة الرابعة لماراثون الرياض، حيث سيدخل المشاركون من مناطق المملكة كافة والعالم في رحلة مليئة بالحماس والتحدي ويشتمل على (ماراثون كامل – نصف ماراثون - سباق لمسافة 10كلم - سباق لمسافة 4 كلم).","Saturday, January 31, 2026","Saturday, January 31, 2026",,Tier 2,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,ليالي رمضان,مدينة الملك عبدالله للطاقة الذرية والمتجددة,"يفتتح مركز مشكاة أبوابه خلال شهر رمضان المبارك لاستقبال العائلات، مقدمًا لهم تجربة فريدة لاستكشاف عالم الطاقة في أجواء رمضانية مميزة.","Sunday, February 1, 2026","Monday, February 2, 2026",,Tier 3,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,فبراير 2026م,تحسب بدون تضمين,Tier 3
,Hia Hub,المجموعة السعودية للأبحاث والأعلام ,مساحة تنبض بالإبداع و تحتضن مواهب وطنية مع خبراء صناعة الموضة وتسلط الضوء على الموضة و الجمال وصحة البشرة بالإضافة لورش العمل و جلسات حوارية و مسرح موسيقي.,"Sunday, February 1, 2026","Thursday, February 5, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض الأقمشة الرجالية والإكسسوارات 2026,قطاع خاص,"فعالية موجهة للأفراد لشراء واستكشاف أقمشة الملابس الرجالية إضافة إلى الإكسسوارات المكملة والإكسسوارات التقليدية، حيث يتيح المعرض للزوار الاختيار المباشر من تشكيلة واسعة والمقارنة بين الخامات والأسعار والتعرّف على أحدث الصيحات والعروض الخاصة في سوق الأزياء الرجالي.","Sunday, February 1, 2026","Friday, February 6, 2026",,Tier 2,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان التجزئة والأزياء,هيئة تطوير بوابة الدرعية,"تهدف إلى جمع قادة قطاع التجزئة والمصممين والعلامات التجارية في منصة واحدة لعرض أحدث الابتكارات والاتجاهات في عالم الموضة والتجزئة، كما يساهم في تعزيز استثمارات قطاع التجزئة والأزياء، وجلسات نقاشية وورش عمل متخصصة لتسليط الضوء على أحدث التوجهات والتقنيات في القطاعين. ","Tuesday, February 3, 2026","Sunday, February 8, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,LIV Golf 2026,مجموعة روشن,"تستعد العاصمة السعودية لاستضافة جولة ""ليف جولف الرياض 2026"" والتي من المقرر أن تفتتح موسم دوري ليف جولف للعام 2026م، حيث يُقام الحدث بمشاركة نخبة من أبرز نجوم الجولف العالميين لخوض ثلاثة أيام من المنافسات الاحترافية والفعاليات الترفيهية.","Thursday, February 5, 2026","Saturday, February 7, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان Freaks of Nature,مدل بيست,"يقدم فريك يارد احتفالاً غامراً بالموسيقى والفن والثقافة بمشاركة أكثر من 100 DJ وثلاثة مسارح رئيسية وتشكيلة جريئة تغطي موسيقى الهاوس والتكنو والأصوات الأفريقية وإلى جانب العروض عالمية المستوى، حيث يمكن للزوار استكشاف أعمال فنية تركيبية مذهلة ومرئيات إبداعية ومؤثرات خاصة ووجهات طعام مختارة داخل مساحة نابضة بالحياة يجتمع فيها النجوم العالميون والمواهب المحلية والفنانون.","Thursday, February 5, 2026","Friday, February 13, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,غير متواصلة,خلال التواريخ المحددة,تضمن,
,تصفيات البطولات القتالية للرياضات الإلكترونية,الاتحاد السعودي للرياضات الإلكترونية,"الدوري السعودي للرياضات الإلكترونية القتالية هو دوري لمحترفي الرياضات الإلكترونية القتالية، حيث يجتمع فيه اللاعبين ليتنافسوا فيما بينهم لتنمية مهاراتهم سعياً لخلق أبطال يتنافسون في أكبر محافل الرياضات الإلكترونية القتالية عالمياً.","Friday, February 6, 2026","Saturday, May 2, 2026",,Tier 2,ترفيه,الرياض,,أساس,لم تلغى,غير متواصلة,خلال التواريخ المحددة,تضمن,
,ملاكمة ختام موسم الرياض,الهيئة العامة للترفيه,ملاكمة ختام موسم الرياض تجمع ملاكمين تحدد الأسماء لاحقاً.,"Saturday, February 7, 2026","Saturday, February 14, 2026",,Marquee,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,بطولة البادل ,الهيئة العامة للترفيه,بطولة دولية كبرى لرياضة البادل تقام للسنة الثالثة في المملكة ضمن فعاليات موسم الرياض وتُعد جزءًا من أجندة Premier Padel  العالمية بمشاركة نخبة من أفضل لاعبي ولاعبات البادل المحترفين على مستوى العالم.,"Monday, February 9, 2026","Saturday, February 14, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,البطولة السعودية الدولية للسيدات للجولف, صندوق الاستثمارات العامة,"يستضيف نادي الرياض للجولف ""بطولة السعودية الدولية للسيدات"" والتي تُقام ضمن سلسلة الصندوق العالمية وتُعد هذه البطولة إحدى الجولات المرموقة ضمن الجولة الأوروبية للسيدات (LET) بمشاركة نخبة من أفضل لاعبات الجولف المحترفات على مستوى العالم.","Thursday, February 12, 2026","Saturday, February 14, 2026",,Tier 2,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,كأس السعودية  2026,نادي سباقات الخيل ,"حدث ضمن الاحتفال بالرياضة السعودية يشمل على فعاليات ترفيهيه وأفضل المأكولات وأحدث الموضات والتجارب الثقافية السعودية، حيث يتصدرها كأس السعودية كجوهرة في تاج السباقات الدولية وللفائز بالسباق الفرصة بالحصول على 20 مليون دولار أمريكي وجوائز تبلغ مجموعها أكثر من 37.5 مليون دولار.","Friday, February 13, 2026","Saturday, February 14, 2026",,Marquee,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,كأس السعودية 2026,نادي سباقات الخيل,"حدث ضمن الاحتفال بالرياضة السعودية يشمل على فعاليات ترفيهيه وأفضل المأكولات والتجارب الثقافية السعودية, والتي يتصدرها كأس السعودية كجوهرة في تاج السباقات الدولية وللفائز بالسباق الفرصة بالحصول على 20 مليون دولار أمريكي, وجوائز تبلغ مجموعها أكثر من 37.5 مليون دولار.","Friday, February 13, 2026","Saturday, February 14, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,فعالية يوم التأسيس,جامعة الملك سعود بن عبدالعزيز للعلوم الصحية," تهدف الفعالية إلى تعزيز الانتماء الوطني والوعي بالتاريخ السعودي من خلال تنظيم مجموعة متنوعة من الفعاليات الثقافية والتعليمية، حيث تشمل الفعالية عروضًا فنية ومحاضرات تاريخية وورش عمل توعوية تسلط الضوء على قيم الوحدة والهوية الوطنية مما يعزز روح الفخر الوطني والتلاحم الاجتماعي وكما تهدف الفعالية إلى نقل تراث الأجداد للأجيال الجديدة وتؤكد على أهمية المحافظة على القيم والتقاليد السعودية في العصر الحديث.

","Tuesday, February 17, 2026","Tuesday, February 17, 2026",,Tier 3,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,يوم التأسيس,الشركة السعودية للقهوة,يوم التأسيس,"Sunday, February 22, 2026","Sunday, February 22, 2026",,Tier 3,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,حفل ورث السنوي,المعهد الملكي للفنون التقليديّة (وِرث) ,"حفل ورث السنوي يحتفي بالأصالة ويعكس تنوّع الثقافة من خلال مساحات تفاعلية، حيث يُبرز إنجازات المعهد ويُسلّط الضوء على إبداعات الطلاب من خلال عرض أعمالهم إلى جانب استعراض أبرز المبادرات والأنشطة التسويقية مع الشركاء.","Sunday, March 15, 2026","Sunday, March 15, 2026",,Tier 3,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,عيد الفطر,الشركة السعودية للقهوة,عيد الفطر,"Friday, March 20, 2026","Friday, March 20, 2026",,Tier 3,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,عروض الألعاب النارية في عيد الفطر,الهيئة العامة للترفيه,"تحتفل المملكة العربية السعودية بأيام عيد الفطر المبارك، حيث تقام العديد من عروض الألعاب النارية لرسم بهجة وسعادة لسكانها.","Friday, March 20, 2026","Friday, March 27, 2026",,Tier 2,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان الفنون التقليدية,وزارة الثقافة,"مهرجان يبرز الفنون التقليدية من مختلف مناطق المملكة، حيث يمتد المهرجان على مدار اسبوعين متواصلين يضم 41 فن تقليدي أدائي وأدبي وفعاليات مصاحبة. ","Friday, March 20, 2026","Thursday, April 2, 2026",,Tier 1,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,تصفيات بطولات التحدي للرياضات الإلكترونية ,الاتحاد السعودي للرياضات الإلكترونية,"الدوري السعودي للرياضات الإلكترونية التحدي هي بطولة صممت بشكل استراتيجي لتكون حاضنة للألعاب التي لا تحظى بشعبية كبيرة محلياً ولكنها تعد مهمة على الساحة العالمية، ولتطوير مجتمعات هذه الألعاب محلياً لضمان تواجد مسار سلس وواضح لتطور اللاعبين.","Friday, March 20, 2026","Wednesday, September 16, 2026",,Tier 2,ترفيه,الرياض,,أساس,ملغى 1,غير متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,مباراة كرة القدم الأمريكية للمشجعين مع توم برادي ,الهيئة العامة للترفيه,حدث رياضي عالمي فريد من نوعه يقام لأول مرة في المملكة يجمع أسطورة كرة القدم الأمريكية توم برادي مع نجوم رياضة الـNFL ومشاهير من مختلف المجالات في مباراة استعراضية مثيرة بنظام Flag Football ضمن فعاليات موسم الرياض.,"Saturday, March 21, 2026","Saturday, March 21, 2026",,Marquee,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,يوم مبادرة السعودية الخضراء ,المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,"يوم سنوي تنظمه مبادرة السعودية الخضراء, حيث يضم فعاليات وأنشطة ويستعرض الإنجازات ويتم اطلاق  مبادرات جديدة.","Friday, March 27, 2026","Friday, March 27, 2026",,Tier 3,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,Tier 3
,مساءات مشكاة ,مدينة الملك عبدالله للطاقة الذرية والمتجددة,"برنامج مساءات مشكاة الذي صمم خصيصاً للعائلة لتستمع بعلوم الطاقة بطريقة شيقة وثرية عن طريق عدد من البرامج التي تستهدف مختلف شرائح المجتمع، ويتميز البرنامج بأن لكل أمسية طابعاً خاصاً، حيث يُقدم كل مرة تحت عنوان أو ثيم مختلف يثري التجربة ويضيف لها بعداً جديداً.","Wednesday, April 1, 2026","Friday, April 3, 2026",,Tier 3,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,أبريل 2026م,تحسب بدون تضمين,Tier 3
, ساوند ستورم داون تاون,مدل بيست,"توجد خطط قيد الإعداد لتفعيل منطقة الداونتاون في موقع ساوند ستورم من خلال أنشطة موسيقية، إلى جانب عروض يقدمها منسقو أغاني محليون وإقليميون. ولا تزال الخطة في مرحلة التطوير وقيد الدراسة.","Wednesday, April 1, 2026","Friday, April 3, 2026",,Tier 3,ترفيه,الرياض,,أساس,ملغى 1,متواصلة,الربع الأول 2026م,لن تضمن,Tier 3
,معرض فني, مركز الملك عبدالله المالي (كافد) ,معارض معاصرة للفن الحديث و المعاصر.,"Wednesday, April 1, 2026","Saturday, April 4, 2026",,Tier 2,ترفيه,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
